status,product_area,response,justification,request_type
replied,account-management,"For users on a Team or Enterprise plan who are not an Owner or Admin, direct human specialist support is not available for your seat type. To resolve issues with your account access, your account's Primary Owner, Owner, or Console Admin will need to reach out to our support team on your behalf.","The user is a non-owner on a team plan who has lost access to their seat. The documentation explicitly states that for 'Team and Enterprise plan non-Owners', human specialist support is not directly available. It instructs that if they need to escalate an issue, their 'account's Primary Owner, Owner, or Console Admin can reach out on your behalf.' Therefore, I can reply with this information as the solution.",product_issue
replied,candidate_experience,"Thank you for contacting HackerRank support. HackerRank for Work is a recruiting platform that companies use to administer tests and coding challenges. The companies and recruiters directly own the tests, and HackerRank does not have control over the test content, scoring, or hiring decisions. For any requests or disputes regarding your test attempt or score, you will need to contact the company that administered the test directly.","The user, a candidate, is disputing their test score and wants HackerRank to intervene with the recruiter. The retrieved documentation, specifically 'gdpr-faqs-for-hackerrank-for-work.md', clearly states that HackerRank is a platform, and the companies/recruiters own the tests and the data. It explicitly says that for any issues with test attempts, the candidate must contact the company that administered the test directly. Therefore, I can reply with a definitive answer based on the provided text.",product_issue
replied,Transaction Disputes,"To dispute a charge, please contact your issuer or bank using the phone number located on the front or back of your Visa card. In many cases, your issuer or bank will require detailed information regarding the transaction before resolving the disputed charge.","The user wants to dispute a charge because they received the wrong product. The documentation in `../data/visa/support.md` provides a clear, self-service solution: the user must contact their card issuer or bank to dispute the charge. Since the documentation contains the answer, the status is 'replied' and the response summarizes these instructions.",product_issue
escalated,mock_interviews,"I understand you're experiencing an issue with your mock interview stopping midway and are requesting a refund. I've escalated your ticket to our support team for further assistance. They will investigate the issue and get back to you shortly. For a faster resolution, please be ready to provide the link to your interview.","The user is reporting a technical issue where their mock interview stopped working and is requesting a refund. The provided documentation does not contain troubleshooting steps for this specific problem or information about refunds. One document explicitly states that for persistent issues, the user should contact support. Therefore, this requires escalation to a human agent.",bug
escalated,Billing & Payments,"I understand you're having an issue with your payment for order ID cs_live_abcdefgh. I've escalated your request to our support team, who will be able to investigate this specific transaction for you. They will reach out to you directly for further assistance.","The user is reporting a specific issue with a payment, identified by an order ID. The documentation, specifically the 'purchase-mock-interviews.md' article, explicitly instructs users to contact support via email for refund requests or if they are not satisfied with a purchase. This type of issue requires manual investigation of a specific transaction, which cannot be handled through self-service. Therefore, the ticket must be escalated to a human agent.",product_issue
escalated,Account Management,"Thank you for contacting HackerRank support. Your request regarding assistance with your company's infosec process requires handling by our internal team. We have escalated your ticket, and a member of our team will be in touch with you to assist further.","The user is asking for assistance with their company's information security process, specifically requesting that HackerRank fill in some forms. The retrieved documentation covers product features like integrations and guides for recruiters and candidates, but it does not contain any information or self-service instructions regarding company-level infosec processes or how to request help with security questionnaires. Therefore, this request cannot be answered with the provided documents and must be escalated to an internal team.",product_issue
escalated,Community Platform,"I understand you're experiencing issues with your submissions while trying to practice. Since our documentation advises contacting support for this type of issue, I have escalated your ticket to our team for further assistance.","The user is reporting an issue with submissions not working on practice challenges. The documentation titled 'Coding Challenges FAQs' explicitly instructs users to contact HackerRank support if they are facing an issue with challenge results. Therefore, this ticket needs to be escalated to a human agent.",bug
escalated,Coding Challenges,Thank you for reporting this issue. We understand that you are unable to make submissions for any challenges on the website. This issue has been escalated to our technical support team for immediate investigation. We will get back to you with an update as soon as possible.,"The user is reporting a potential site-wide technical issue where submissions are failing across all challenges. The provided documentation does not contain a solution for this type of problem. According to the rules, reports of system outages, site-wide downtime, or technical bugs must be escalated.",bug
escalated,Interviews,"Thank you for contacting HackerRank support. I understand you're facing an issue with the Zoom connectivity during the compatibility check. I am escalating this issue to our support team for further assistance. To help them investigate, please include a screenshot of the error message you are seeing.","The user is reporting a technical issue with the HackerRank compatibility check, specifically with Zoom connectivity. The retrieved documentation explicitly instructs users to contact support@hackerrank.com if they encounter compatibility problems. Therefore, this issue requires escalation to the support team.",bug
escalated,candidate_experience,Thank you for reaching out. Your request to reschedule your assessment has been received and is being escalated to our support team for further assistance.,"The user is a candidate who wants to reschedule their HackerRank assessment. The provided documentation contains instructions for recruiters on how to manage test invites and extend expiry dates, but it does not provide any information or self-service steps for a candidate in this situation. Since the documentation does not contain a solution for the user's specific request, the issue needs to be escalated to a human agent who can provide the correct guidance (which is likely to contact the hiring company).",product_issue
escalated,Interviews,"Thank you for contacting HackerRank support. I understand you are asking about the inactivity timeout settings during interviews and whether they can be extended. I was unable to find the specific information regarding timeout durations in our documentation. I am escalating your ticket to our support team, and they will get back to you with more information.","The user is asking for specific details about inactivity timeout settings in HackerRank Interviews (duration, configurability). The provided documentation describes related features like the Virtual Lobby and Observation Mode, but it does not contain any information about inactivity timeouts. Since the answer is not in the documentation, the ticket must be escalated for a human agent to provide the specific information and address the request to extend the times.",product_issue
replied,Account Management,"I understand you need help. Here are the different ways you can get support depending on your account type:

**For Claude accounts:**
1. Log in to your Claude.ai account.
2. Click your initials or name in the lower left corner and select “Get help.”
3. In the support messenger, you can search help resources or chat with Fin, our AI support bot.

**For the Claude API or Console:**
1. Log in to your Console account (platform.claude.com).
2. Click your initials or name in the lower left corner and select “Get help.”
3. This will open a support messenger to assist you.

**If you are unable to log in:**
1. Click the message icon in the lower right corner of the Help Center.
2. Start a conversation and select ""I can't login.""

If our AI support bot cannot resolve your issue, it will be passed to our Product Support team who will respond via email. Please note that we do not offer phone or live chat support.","The user's request is very vague ('it’s not working, help'). The provided documentation contains specific, self-service instructions on how to contact the support team for various scenarios, including for a Claude account, an API/Console account, or if the user is unable to log in. Since the documentation provides a clear path for the user to get the help they need, the status is 'replied' and the response summarizes these steps.",product_issue
escalated,User Management,Thank you for contacting HackerRank support. Your request to remove an interviewer from the platform has been received and is being escalated to our support team for further assistance. They will get back to you shortly.,"The user wants to know how to remove an interviewer from the platform. The provided documentation includes instructions on how to delete a candidate's profile and how a user can delete their own HackerRank Community account. However, there are no documents that explain how an administrator can remove an interviewer's account. Therefore, the issue needs to be escalated.",product_issue
escalated,Subscription Management,"Thank you for contacting HackerRank support. I understand that you would like to pause your subscription. I have escalated your request to our support team, and they will be able to assist you with this process.","The user wants to pause their subscription. The provided documentation confirms that a 'Pause Subscription' feature exists for individual self-serve plan subscribers, but it does not provide the steps on how to actually perform this action. Since the user cannot self-serve based on the available information, the ticket must be escalated for a human agent to handle the account-specific request.",product_issue
replied,claude,"We're sorry to hear you're experiencing issues with Claude. Here are some steps you can take to troubleshoot the problem:

1.  **Check for active incidents:** Please visit our status page at http://status.claude.com to see if there are any ongoing system-wide issues.

2.  **Troubleshoot login errors:** If you are seeing a generic error message when trying to log in, please try the following:
    *   Ensure you are not using a VPN.
    *   Disable any active browser extensions.
    *   Clear your browser’s cache and cookies.

3.  **Capacity Constraints:** At times of high demand, you may see a message indicating that Claude is unable to respond due to capacity constraints. In this case, please try your request again soon.

If the issue persists and is not listed on the status page, please let us know.","The user is reporting that Claude has stopped working. The retrieved documentation provides several troubleshooting steps for common errors. Specifically, it mentions checking the status page for active incidents, which is the most relevant first step for a system-wide outage report. It also provides steps for login errors and explains capacity constraint messages. Since the documentation offers a clear, self-service path for the user to diagnose the issue, the status is 'replied'.",bug
replied,security,"If the identity theft involves your Visa card, please visit our Lost or Stolen card page to learn how to cancel your card or get an emergency replacement card.","The user is asking what to do about identity theft. The documentation provides a direct answer in the 'My identity has been stolen – what should I do?' section. It instructs the user to visit the 'Lost or Stolen card' page if their Visa card is involved. Since a self-service solution is available, the status is 'replied'.",product_issue
escalated,Resume Builder,"Thank you for reaching out. We're sorry to hear you're experiencing issues with the Resume Builder. Your ticket has been escalated to our technical support team for further investigation, and they will get back to you with an update.","The user is reporting that a feature, Resume Builder, is down. The retrieved documentation explains how to use the feature but does not provide any troubleshooting steps or information about what to do in case of an outage. According to the instructions, reports of system outages or technical bugs should be escalated.",bug
replied,Certifications,"Yes, you can update the name on your certificate. Please note that you can only do this once per account, and the change will apply to all your certificates.

To update the name, please follow these steps:
1. Open your certificate page.
2. In the 'Full Name' field, enter the name you want to display.
3. Click 'Regenerate Certificate'.
4. In the confirmation dialog, click 'Update Name'.

The platform will then update your certificate with the new name.","The user wants to update the name on their certificate. The retrieved documentation provides a clear, step-by-step guide on how a user can update the name on their certificate themselves. Therefore, the status is 'replied' and the response will provide these steps.",product_issue
